phase,model,window_size,epochs,batch_size,lr,dropout,n_params,oof_auc,fold_mean_auc,fold_std_auc,f1,train_time_s,epochs_ran,samples_processed,throughput_sps,peak_mem_mb,device
hpo,LSTM_emb,5,20,256,0.001,0.1,232100,0.8132,0.8132,0.0172,0.59,9.7,18,360010,36969,411.2,cuda
hpo,LSTM_emb,5,20,512,0.001,0.1,232100,0.8143,0.8144,0.0081,0.5917,8.1,20,400000,49432,411.5,cuda
hpo,LSTM_emb,5,40,256,0.001,0.1,232100,0.7826,0.7851,0.0216,0.56,13.9,30,599990,43224,411.2,cuda
hpo,LSTM_emb,5,40,512,0.001,0.1,232100,0.8024,0.8045,0.002,0.587,13.9,36,720010,51692,411.5,cuda
final_5fold,LSTM_emb,5,20,512,0.001,0.1,232100,0.8233,0.8187,0.0328,0.605,115.0,42,8849938,76927,411.6,cuda
window_sens,LSTM_emb,3,20,512,0.001,0.1,232100,0.8307,0.8279,0.0329,0.5851,126.8,38,9941491,78390,308.9,cuda
window_sens,LSTM_emb,5,20,512,0.001,0.1,232100,0.8186,0.8153,0.0265,0.5917,110.8,41,8640079,77985,411.6,cuda
window_sens,LSTM_emb,10,20,512,0.001,0.1,232100,0.8048,0.8035,0.0338,0.6374,73.2,42,4328064,59158,663.6,cuda
