experiment_name,n_layers,n_heads,dim_feedforward,dropout,n_epochs,patience,lr,warmup_epochs,grad_clip,oof_tt,oof_lgb,oof_xgb,oof_ensemble,best_w_tt,best_w_lgb,best_w_xgb,emb_gain,elapsed_s,tt_total_s,lgb_total_s,xgb_total_s,avg_ep,gpu_peak_mb
exp01,3,4,512,0.15,60,12,0.0002,5,1,0.7733,0.9273,0.9265,0.9277,0,0.65,0.35,,776.6,696.7,34.9,14.9,30.2,439
exp02,5,4,512,0.08,100,12,0.0002,5,1,0.8341,0.9207,0.9208,0.9215,0,0.5,0.5,0.0084,1734.9,1655.7,30.2,15.9,60.2,528
exp03,3,4,512,0.15,60,12,0.0002,5,1,0.9076,0.9277,0.9278,0.9286,0,0.5,0.5,-0.0043,860.2,768.4,40.1,20.6,33.6,242
exp04,5,4,512,0.15,100,12,0.0002,5,1,0.908,0.9282,0.9279,0.9288,0,0.55,0.45,-0.0038,1217.4,1121.8,41.6,20.7,41.6,346
exp05,5,4,512,0.08,100,12,0.0002,5,1,0.9078,0.9291,0.9288,0.9296,0,0.55,0.45,-0.0029,964.9,875.6,39.5,20,36.6,346
