phase,model,window_size,epochs,batch_size,lr,dropout,n_params,oof_auc,fold_mean_auc,fold_std_auc,f1,train_time_s,epochs_ran,samples_processed,throughput_sps,peak_mem_mb,device
hpo,LSTM_emb,5,20,256,0.001,0.1,230044,0.728,0.7287,0.0255,0.5179,15.6,19,380005,24370,,cpu
hpo,LSTM_emb,5,20,512,0.001,0.1,230044,0.7358,0.7364,0.0036,0.52,16.2,22,440000,27173,,cpu
hpo,LSTM_emb,5,40,256,0.001,0.1,230044,0.7334,0.7345,0.0001,0.516,24.8,34,680000,27409,,cpu
hpo,LSTM_emb,5,40,512,0.001,0.1,230044,0.7109,0.7092,0.0113,0.5006,23.0,31,620005,26936,,cpu
final_5fold,LSTM_emb,5,20,512,0.001,0.1,230044,0.7826,0.782,0.0218,0.5589,238.7,38,8007422,33549,,cpu
window_sens,LSTM_emb,3,20,512,0.001,0.1,230044,0.7723,0.775,0.0212,0.5169,241.2,39,10203171,42306,,cpu
window_sens,LSTM_emb,5,20,512,0.001,0.1,230044,0.7646,0.7621,0.0324,0.5414,261.7,40,8429285,32214,,cpu
window_sens,LSTM_emb,10,20,512,0.001,0.1,230044,0.7616,0.7639,0.062,0.6054,313.5,63,6492064,20708,,cpu
