Driver,LapNumber,TrackStatus,SafetyCar,VSC,YellowFlag,RedFlag,RecentSC,Race,Year
LEC,27.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,28.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,29.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,30.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,31.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,32.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,33.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,34.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,35.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,36.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,37.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,38.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,39.0,12,0,0,1,0,0,Abu Dhabi Grand Prix,2022
LEC,40.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,41.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,42.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,43.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,44.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,45.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,46.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,47.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,48.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,49.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,50.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,51.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,52.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,53.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,54.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,55.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,56.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,57.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
LEC,58.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,1.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,2.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,3.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,4.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,5.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,6.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,7.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,8.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,9.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,10.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,11.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,12.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,13.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,14.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,15.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,16.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,17.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,18.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,19.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,20.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,21.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,22.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,23.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,24.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,25.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,26.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,27.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,28.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,29.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,30.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,31.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,32.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,33.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,34.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,35.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,36.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,37.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,38.0,12,0,0,1,0,0,Abu Dhabi Grand Prix,2022
PER,39.0,21,0,0,1,0,0,Abu Dhabi Grand Prix,2022
PER,40.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,41.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,42.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,43.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,44.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,45.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,46.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,47.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,48.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,49.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,50.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,51.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,52.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,53.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,54.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,55.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,56.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,57.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
PER,58.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,1.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,2.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,3.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,4.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,5.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,6.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,7.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,8.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,9.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,10.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,11.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
SAI,12.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
